Question,Answer
What GUI toolkits exist for Python?,"Standard builds of Python include an object-oriented interface to the Tcl/Tk widget set, called tkinter. This is probably the easiest to install (since it comes included with most binary distributions of Python) and use. For more info about Tk, including pointers to the source, see the Tcl/Tk home page. Tcl/Tk is fully portable to the macOS, Windows, and Unix platforms. Depending on what platform(s) you are aiming at, there are also several alternatives. A list of cross-platform and platform-specific GUI frameworks can be found on the python wiki. Tkinter questions"
How do I find a module or application to perform task X?,"Check the Library Reference to see if there�??s a relevant standard library module. (Eventually you�??ll learn what�??s in the standard library and will be able to skip this step.) For third-party packages, search the Python Package Index or try Google or another web search engine. Searching for �??Python�?� plus a keyword or two for your topic of interest will usually find something helpful. Where is the math.py (socket.py, regex.py, etc.) source file? If you can�??t find a source file for a module it may be a built-in or dynamically loaded module implemented in C, C++ or other compiled language. In this case you may not have the source file or it may be something like mathmodule.c, somewhere in a C source directory (not on the Python Path). There are (at least) three kinds of modules in Python: modules written in Python (.py); modules written in C and dynamically loaded (.dll, .pyd, .so, .sl, etc); modules written in C and linked with the interpreter; to get a list of these, type: import sys print(sys.builtin_module_names)"
How do I test a Python program or component?,"Python comes with two testing frameworks. The doctest module finds examples in the docstrings for a module and runs them, comparing the output with the expected output given in the docstring. The unittest module is a fancier testing framework modelled on Java and Smalltalk testing frameworks. To make testing easier, you should use good modular design in your program. Your program should have almost all functionality encapsulated in either functions or class methods �?? and this sometimes has the surprising and delightful effect of making the program run faster (because local variable accesses are faster than global accesses). Furthermore the program should avoid depending on mutating global variables, since this makes testing much more difficult to do. The �??global main logic�?� of your program may be as simple as if __name__ == ""__main__"": main_logic() at the bottom of the main module of your program. Once your program is organized as a tractable collection of function and class behaviours, you should write test functions that exercise the behaviours. A test suite that automates a sequence of tests can be associated with each module. This sounds like a lot of work, but since Python is so terse and flexible it�??s surprisingly easy. You can make coding much more pleasant and fun by writing your test functions in parallel with the �??production code�?�, since this makes it easy to find bugs and even design flaws earlier. �??Support modules�?� that are not intended to be the main module of a program may include a self-test of the module. if __name__ == ""__main__"": self_test() Even programs that interact with complex external interfaces may be tested when the external interfaces are unavailable by using �??fake�?� interfaces implemented in Python."
How do I create documentation from doc strings?,The pydoc module can create HTML from the doc strings in your Python source code. An alternative for creating API documentation purely from docstrings is epydoc. Sphinx can also include docstring content.
How do I program using threads?,"Be sure to use the threading module and not the _thread module. The threading module builds convenient abstractions on top of the low-level primitives provided by the _thread module. None of my threads seem to run: why? As soon as the main thread exits, all threads are killed. Your main thread is running too quickly, giving the threads no time to do any work. A simple fix is to add a sleep to the end of the program that�??s long enough for all the threads to finish: import threading, time def thread_task(name, n): for i in range(n): print(name, i) for i in range(10): T = threading.Thread(target=thread_task, args=(str(i), i)) T.start() time.sleep(10)  # <---------------------------! But now (on many platforms) the threads don�??t run in parallel, but appear to run sequentially, one at a time! The reason is that the OS thread scheduler doesn�??t start a new thread until the previous thread is blocked. A simple fix is to add a tiny sleep to the start of the run function: def thread_task(name, n): time.sleep(0.001)  # <--------------------! for i in range(n): print(name, i) for i in range(10): T = threading.Thread(target=thread_task, args=(str(i), i)) T.start() time.sleep(10) Instead of trying to guess a good delay value for time.sleep(), it�??s better to use some kind of semaphore mechanism. One idea is to use the queue module to create a queue object, let each thread append a token to the queue when it finishes, and let the main thread read as many tokens from the queue as there are threads."
How do I delete a file? (And other file questions�??),"Use os.remove(filename) or os.unlink(filename); for documentation, see the os module. The two functions are identical; unlink() is simply the name of the Unix system call for this function. To remove a directory, use os.rmdir(); use os.mkdir() to create one. os.makedirs(path) will create any intermediate directories in path that don�??t exist. os.removedirs(path) will remove intermediate directories as long as they�??re empty; if you want to delete an entire directory tree and its contents, use shutil.rmtree(). To rename a file, use os.rename(old_path, new_path). To truncate a file, open it using f = open(filename, ""rb+""), and use f.truncate(offset); offset defaults to the current seek position. There�??s also os.ftruncate(fd, offset) for files opened with os.open(), where fd is the file descriptor (a small integer). The shutil module also contains a number of functions to work on files including copyfile(), copytree(), and rmtree()."
How do I copy a file?,"The shutil module contains a copyfile() function. Note that on Windows NTFS volumes, it does not copy alternate data streams nor resource forks on macOS HFS+ volumes, though both are now rarely used. It also doesn�??t copy file permissions and metadata, though using shutil.copy2() instead will preserve most (though not all) of it."
What module should I use to help with generating HTML?,You can find a collection of useful links on the Web Programming wiki page.
How do I send mail from a Python script?,"Use the standard library module smtplib. Here�??s a very simple interactive mail sender that uses it. This method will work on any host that supports an SMTP listener. import sys, smtplib fromaddr = input(""From: "") toaddrs  = input(""To: "").split(',') print(""Enter message, end with ^D:"") msg = '' while True: line = sys.stdin.readline() if not line: break msg += line # The actual mail send server = smtplib.SMTP('localhost') server.sendmail(fromaddr, toaddrs, msg) server.quit() A Unix-only alternative uses sendmail. The location of the sendmail program varies between systems; sometimes it is /usr/lib/sendmail, sometimes /usr/sbin/sendmail. The sendmail manual page will help you out. Here�??s some sample code: import os SENDMAIL = ""/usr/sbin/sendmail""  # sendmail location p = os.popen(""%s -t -i"" % SENDMAIL, ""w"") p.write(""To: receiver@example.com\n"") p.write(""Subject: test\n"") p.write(""\n"")  # blank line separating headers from body p.write(""Some text\n"") p.write(""some more text\n"") sts = p.close() if sts != 0: print(""Sendmail exit status"", sts)"
How do you implement persistent objects in Python?,"The pickle library module solves this in a very general way (though you still can�??t store things like open files, sockets or windows), and the shelve library module uses pickle and (g)dbm to create persistent mappings containing arbitrary Python objects. Mathematics and Numerics"
"Is there a source code level debugger with breakpoints, single-stepping, etc.?","Yes. Several debuggers for Python are described below, and the built-in function breakpoint() allows you to drop into any of them. The pdb module is a simple but adequate console-mode debugger for Python. It is part of the standard Python library, and is documented in the Library Reference Manual. You can also write your own debugger by using the code for pdb as an example. The IDLE interactive development environment, which is part of the standard Python distribution (normally available as Tools/scripts/idle3), includes a graphical debugger. PythonWin is a Python IDE that includes a GUI debugger based on pdb. The PythonWin debugger colors breakpoints and has quite a few cool features such as debugging non-PythonWin programs. PythonWin is available as part of pywin32 project and as a part of the ActivePython distribution. Eric is an IDE built on PyQt and the Scintilla editing component. trepan3k is a gdb-like debugger. Visual Studio Code is an IDE with debugging tools that integrates with version-control software. There are a number of commercial Python IDEs that include graphical debuggers. They include: Wing IDE Komodo IDE PyCharm Are there tools to help find bugs or perform static analysis? Yes. Pylint and Pyflakes do basic checking that will help you catch bugs sooner. Static type checkers such as Mypy, Pyre, and Pytype can check type hints in Python source code."
What are the rules for local and global variables in Python?,"In Python, variables that are only referenced inside a function are implicitly global. If a variable is assigned a value anywhere within the function�??s body, it�??s assumed to be a local unless explicitly declared as global. Though a bit surprising at first, a moment�??s consideration explains this. On one hand, requiring global for assigned variables provides a bar against unintended side-effects. On the other hand, if global was required for all global references, you�??d be using global all the time. You�??d have to declare as global every reference to a built-in function or to a component of an imported module. This clutter would defeat the usefulness of the global declaration for identifying side-effects."
How do I share global variables across modules?,"The canonical way to share information across modules within a single program is to create a special module (often called config or cfg). Just import the config module in all modules of your application; the module then becomes available as a global name. Because there is only one instance of each module, any changes made to the module object get reflected everywhere. For example: config.py: x = 0   # Default value of the 'x' configuration setting mod.py: import config config.x = 1 main.py: import config import mod print(config.x) Note that using a module is also the basis for implementing the singleton design pattern, for the same reason."
What are the �??best practices�?� for using import in a module?,"In general, don�??t use from modulename import *. Doing so clutters the importer�??s namespace, and makes it much harder for linters to detect undefined names. Import modules at the top of a file. Doing so makes it clear what other modules your code requires and avoids questions of whether the module name is in scope. Using one import per line makes it easy to add and delete module imports, but using multiple imports per line uses less screen space. It�??s good practice if you import modules in the following order: standard library modules �?? e.g. sys, os, argparse, re third-party library modules (anything installed in Python�??s site-packages directory) �?? e.g. dateutil, requests, PIL.Image locally developed modules It is sometimes necessary to move imports to a function or class to avoid problems with circular imports. Gordon McMillan says: Circular imports are fine where both modules use the �??import <module>�?� form of import. They fail when the 2nd module wants to grab a name out of the first (�??from module import name�?�) and the import is at the top level. That�??s because names in the 1st are not yet available, because the first module is busy importing the 2nd. In this case, if the second module is only used in one function, then the import can easily be moved into that function. By the time the import is called, the first module will have finished initializing, and the second module can do its import. It may also be necessary to move imports out of the top level of code if some of the modules are platform-specific. In that case, it may not even be possible to import all of the modules at the top of the file. In this case, importing the correct modules in the corresponding platform-specific code is a good option. Only move imports into a local scope, such as inside a function definition, if it�??s necessary to solve a problem such as avoiding a circular import or are trying to reduce the initialization time of a module. This technique is especially helpful if many of the imports are unnecessary depending on how the program executes. You may also want to move imports into a function if the modules are only ever used in that function. Note that loading a module the first time may be expensive because of the one time initialization of the module, but loading a module multiple times is virtually free, costing only a couple of dictionary lookups. Even if the module name has gone out of scope, the module is probably available in sys.modules."
How can I pass optional or keyword parameters from one function to another?,"Collect the arguments using the * and ** specifiers in the function�??s parameter list; this gives you the positional arguments as a tuple and the keyword arguments as a dictionary. You can then pass these arguments when calling another function by using * and **: def f(x, *args, **kwargs): ... kwargs['width'] = '14.3c' ... g(x, *args, **kwargs)"
What is the difference between arguments and parameters?,"Parameters are defined by the names that appear in a function definition, whereas arguments are the values actually passed to a function when calling it. Parameters define what kind of arguments a function can accept. For example, given the function definition: def func(foo, bar=None, **kwargs): pass foo, bar and kwargs are parameters of func. However, when calling func, for example: func(42, bar=314, extra=somevar) the values 42, 314, and somevar are arguments."
How do you make a higher order function in Python?,"You have two choices: you can use nested scopes or you can use callable objects. For example, suppose you wanted to define linear(a,b) which returns a function f(x) that computes the value a*x+b. Using nested scopes: def linear(a, b): def result(x): return a * x + b return result Or using a callable object: class linear: def __init__(self, a, b): self.a, self.b = a, b def __call__(self, x): return self.a * x + self.b In both cases, taxes = linear(0.3, 2) gives a callable object where taxes(10e6) == 0.3 * 10e6 + 2. The callable object approach has the disadvantage that it is a bit slower and results in slightly longer code. However, note that a collection of callables can share their signature via inheritance: class exponential(linear): # __init__ inherited def __call__(self, x): return self.a * (x ** self.b) Object can encapsulate state for several methods: class counter: value = 0 def set(self, x): self.value = x def up(self): self.value = self.value + 1 def down(self): self.value = self.value - 1 count = counter() inc, dec, reset = count.up, count.down, count.set Here inc(), dec() and reset() act like functions which share the same counting variable."
How do I copy an object in Python?,"In general, try copy.copy() or copy.deepcopy() for the general case. Not all objects can be copied, but most can. Some objects can be copied more easily. Dictionaries have a copy() method: newdict = olddict.copy() Sequences can be copied by slicing: new_l = l[:]"
What does the slash(/) in the parameter list of a function mean?,"A slash in the argument list of a function denotes that the parameters prior to it are positional-only. Positional-only parameters are the ones without an externally usable name. Upon calling a function that accepts positional-only parameters, arguments are mapped to parameters based solely on their position. For example, divmod() is a function that accepts positional-only parameters. Its documentation looks like this: help(divmod) Help on built-in function divmod in module builtins: divmod(x, y, /) Return the tuple (x//y, x%y).  Invariant: div*y + mod == x. The slash at the end of the parameter list means that both parameters are positional-only. Thus, calling divmod() with keyword arguments would lead to an error: divmod(x=3, y=4) Traceback (most recent call last): File ""<stdin>"", line 1, in <module> TypeError: divmod() takes no keyword arguments Numbers and strings"
How do I convert a string to a number?,"For integers, use the built-in int() type constructor, e.g. int('144') == 144. Similarly, float() converts to a floating-point number, e.g. float('144') == 144.0. By default, these interpret the number as decimal, so that int('0144') == 144 holds true, and int('0x144') raises ValueError. int(string, base) takes the base to convert from as a second optional argument, so int( '0x144', 16) == 324. If the base is specified as 0, the number is interpreted using Python�??s rules: a leading �??0o�?? indicates octal, and �??0x�?? indicates a hex number. Do not use the built-in function eval() if all you need is to convert strings to numbers. eval() will be significantly slower and it presents a security risk: someone could pass you a Python expression that might have unwanted side effects. For example, someone could pass __import__('os').system(""rm -rf $HOME"") which would erase your home directory. eval() also has the effect of interpreting numbers as Python expressions, so that e.g. eval('09') gives a syntax error because Python does not allow leading �??0�?? in a decimal number (except �??0�??)."
How do I convert a number to a string?,"To convert, e.g., the number 144 to the string '144', use the built-in type constructor str(). If you want a hexadecimal or octal representation, use the built-in functions hex() or oct(). For fancy formatting, see the f-strings and Format String Syntax sections, e.g. ""{:04d}"".format(144) yields '0144' and ""{:.3f}"".format(1.0/3.0) yields '0.333'."
How do I modify a string in place?,"You can�??t, because strings are immutable. In most situations, you should simply construct a new string from the various parts you want to assemble it from. However, if you need an object with the ability to modify in-place unicode data, try using an io.StringIO object or the array module: import io s = ""Hello, world"" sio = io.StringIO(s) sio.getvalue() 'Hello, world' sio.seek(7) 7 sio.write(""there!"") 6 sio.getvalue() 'Hello, there!' import array a = array.array('w', s) print(a) array('w', 'Hello, world') a[0] = 'y' print(a) array('w', 'yello, world') a.tounicode() 'yello, world'"
How do I use strings to call functions/methods?,"There are various techniques. The best is to use a dictionary that maps strings to functions. The primary advantage of this technique is that the strings do not need to match the names of the functions. This is also the primary technique used to emulate a case construct: def a(): pass def b(): pass dispatch = {'go': a, 'stop': b}  # Note lack of parens for funcs dispatch[get_input()]()  # Note trailing parens to call function Use the built-in function getattr(): import foo getattr(foo, 'bar')() Note that getattr() works on any object, including classes, class instances, modules, and so on. This is used in several places in the standard library, like this: class Foo: def do_foo(self): ... def do_bar(self): ... f = getattr(foo_instance, 'do_' + opname) f() Use locals() to resolve the function name: def myFunc(): print(""hello"") fname = ""myFunc"" f = locals()[fname] f()"
What is the most efficient way to concatenate many strings together?,"str and bytes objects are immutable, therefore concatenating many strings together is inefficient as each concatenation creates a new object. In the general case, the total runtime cost is quadratic in the total string length. To accumulate many str objects, the recommended idiom is to place them into a list and call str.join() at the end: chunks = [] for s in my_strings: chunks.append(s) result = ''.join(chunks) (another reasonably efficient idiom is to use io.StringIO) To accumulate many bytes objects, the recommended idiom is to extend a bytearray object using in-place concatenation (the += operator): result = bytearray() for b in my_bytes_objects: result += b Sequences (Tuples/Lists)"
How do you remove duplicates from a list?,"See the Python Cookbook for a long discussion of many ways to do this: https://code.activestate.com/recipes/52560/ If you don�??t mind reordering the list, sort it and then scan from the end of the list, deleting duplicates as you go: if mylist: mylist.sort() last = mylist[-1] for i in range(len(mylist)-2, -1, -1): if last == mylist[i]: del mylist[i] else: last = mylist[i] If all elements of the list may be used as set keys (i.e. they are all hashable) this is often faster mylist = list(set(mylist)) This converts the list into a set, thereby removing duplicates, and then back into a list."
How do you remove multiple items from a list,"As with removing duplicates, explicitly iterating in reverse with a delete condition is one possibility. However, it is easier and faster to use slice replacement with an implicit or explicit forward iteration. Here are three variations.: mylist[:] = filter(keep_function, mylist) mylist[:] = (x for x in mylist if keep_condition) mylist[:] = [x for x in mylist if keep_condition] The list comprehension may be fastest."
How do you make an array in Python?,"Use a list: [""this"", 1, ""is"", ""an"", ""array""] Lists are equivalent to C or Pascal arrays in their time complexity; the primary difference is that a Python list can contain objects of many different types. The array module also provides methods for creating arrays of fixed types with compact representations, but they are slower to index than lists. Also note that NumPy and other third party packages define array-like structures with various characteristics as well. To get Lisp-style linked lists, you can emulate cons cells using tuples: lisp_list = (""like"",  (""this"",  (""example"", None) ) ) If mutability is desired, you could use lists instead of tuples. Here the analogue of a Lisp car is lisp_list[0] and the analogue of cdr is lisp_list[1]. Only do this if you�??re sure you really need to, because it�??s usually a lot slower than using Python lists."
How do I create a multidimensional list?,"You probably tried to make a multidimensional array like this: A = [[None] * 2] * 3 This looks correct if you print it: A [[None, None], [None, None], [None, None]] But when you assign a value, it shows up in multiple places: A[0][0] = 5 A [[5, None], [5, None], [5, None]] The reason is that replicating a list with * doesn�??t create copies, it only creates references to the existing objects. The *3 creates a list containing 3 references to the same list of length two. Changes to one row will show in all rows, which is almost certainly not what you want. The suggested approach is to create a list of the desired length first and then fill in each element with a newly created list: A = [None] * 3 for i in range(3): A[i] = [None] * 2 This generates a list containing 3 different lists of length two. You can also use a list comprehension: w, h = 2, 3 A = [[None] * w for i in range(h)] Or, you can use an extension that provides a matrix datatype; NumPy is the best known."
What is a class?,"A class is the particular object type created by executing a class statement. Class objects are used as templates to create instance objects, which embody both the data (attributes) and code (methods) specific to a datatype. A class can be based on one or more other classes, called its base class(es). It then inherits the attributes and methods of its base classes. This allows an object model to be successively refined by inheritance. You might have a generic Mailbox class that provides basic accessor methods for a mailbox, and subclasses such as MboxMailbox, MaildirMailbox, OutlookMailbox that handle various specific mailbox formats."
What is a method?,"A method is a function on some object x that you normally call as x.name(arguments...). Methods are defined as functions inside the class definition: class C: def meth(self, arg): return arg * 2 + self.attribute"
What is self?,"Self is merely a conventional name for the first argument of a method. A method defined as meth(self, a, b, c) should be called as x.meth(a, b, c) for some instance x of the class in which the definition occurs; the called method will think it is called as meth(x, a, b, c). See also Why must �??self�?? be used explicitly in method definitions and calls?."
What is delegation?,"Delegation is an object oriented technique (also called a design pattern). Let�??s say you have an object x and want to change the behaviour of just one of its methods. You can create a new class that provides a new implementation of the method you�??re interested in changing and delegates all other methods to the corresponding method of x. Python programmers can easily implement delegation. For example, the following class implements a class that behaves like a file but converts all written data to uppercase: class UpperOut: def __init__(self, outfile): self._outfile = outfile def write(self, s): self._outfile.write(s.upper()) def __getattr__(self, name): return getattr(self._outfile, name) Here the UpperOut class redefines the write() method to convert the argument string to uppercase before calling the underlying self._outfile.write() method. All other methods are delegated to the underlying self._outfile object. The delegation is accomplished via the __getattr__() method; consult the language reference for more information about controlling attribute access. Note that for more general cases delegation can get trickier. When attributes must be set as well as retrieved, the class must define a __setattr__() method too, and it must do so carefully. The basic implementation of __setattr__() is roughly equivalent to the following: class X: ... def __setattr__(self, name, value): self.__dict__[name] = value ... Many __setattr__() implementations call object.__setattr__() to set an attribute on self without causing infinite recursion: class X: def __setattr__(self, name, value): # Custom logic here... object.__setattr__(self, name, value) Alternatively, it is possible to set attributes by inserting entries into self.__dict__ directly."
How can I organize my code to make it easier to change the base class?,"You could assign the base class to an alias and derive from the alias. Then all you have to change is the value assigned to the alias. Incidentally, this trick is also handy if you want to decide dynamically (e.g. depending on availability of resources) which base class to use. Example: class Base: ... BaseAlias = Base class Derived(BaseAlias): ..."
How do I get a list of all instances of a given class?,Python does not keep track of all instances of a class (or of a built-in type). You can program the class�??s constructor to keep track of all instances by keeping a list of weak references to each instance.
How do I find the current module name?,"A module can find out its own module name by looking at the predefined global variable __name__. If this has the value '__main__', the program is running as a script. Many modules that are usually used by importing them also provide a command-line interface or a self-test, and only execute this code after checking __name__: def main(): print('Running test...') ... if __name__ == '__main__': main()"
How do I run a Python program under Windows?,"This is not necessarily a straightforward question. If you are already familiar with running programs from the Windows command line then everything will seem obvious; otherwise, you might need a little more guidance. Unless you use some sort of integrated development environment, you will end up typing Windows commands into what is referred to as a �??Command prompt window�?�. Usually you can create such a window from your search bar by searching for cmd. You should be able to recognize when you have started such a window because you will see a Windows �??command prompt�?�, which usually looks like this: The letter may be different, and there might be other things after it, so you might just as easily see something like: depending on how your computer has been set up and what else you have recently done with it. Once you have started such a window, you are well on the way to running Python programs. You need to realize that your Python scripts have to be processed by another program called the Python interpreter. The interpreter reads your script, compiles it into bytecodes, and then executes the bytecodes to run your program. So, how do you arrange for the interpreter to handle your Python? First, you need to make sure that your command window recognises the word �??py�?� as an instruction to start the interpreter. If you have opened a command window, you should try entering the command py and hitting return: py You should then see something like: Python 3.6.4 (v3.6.4:d48eceb, Dec 19 2017, 06:04:45) [MSC v.1900 32 bit (Intel)] on win32 Type ""help"", ""copyright"", ""credits"" or ""license"" for more information. You have started the interpreter in �??interactive mode�?�. That means you can enter Python statements or expressions interactively and have them executed or evaluated while you wait. This is one of Python�??s strongest features. Check it by entering a few expressions of your choice and seeing the results: print(""Hello"") Hello ""Hello"" * 3 'HelloHelloHello' Many people use the interactive mode as a convenient yet highly programmable calculator. When you want to end your interactive Python session, call the exit() function or hold the Ctrl key down while you enter a Z, then hit the �??Enter�?� key to get back to your Windows command prompt. You may also find that you have a Start-menu entry such as Start �?� Programs �?� Python 3.x �?� Python (command line) that results in you seeing the >>> prompt in a new window. If so, the window will disappear after you call the exit() function or enter the Ctrl-Z character; Windows is running a single �??python�?� command in the window, and closes it when you terminate the interpreter. Now that we know the py command is recognized, you can give your Python script to it. You�??ll have to give either an absolute or a relative path to the Python script. Let�??s say your Python script is located in your desktop and is named hello.py, and your command prompt is nicely opened in your home directory so you�??re seeing something similar to: C:\Users\YourName> So now you�??ll ask the py command to give your script to Python by typing py followed by your script path: C:\Users\YourName> py Desktop\hello.py hello"
Why does Python sometimes take so long to start?,"Usually Python starts very quickly on Windows, but occasionally there are bug reports that Python suddenly begins to take a long time to start up. This is made even more puzzling because Python will work fine on other Windows systems which appear to be configured identically. The problem may be caused by a misconfiguration of virus checking software on the problem machine. Some virus scanners have been known to introduce startup overhead of two orders of magnitude when the scanner is configured to monitor all reads from the filesystem. Try checking the configuration of virus scanning software on your systems to ensure that they are indeed configured identically. McAfee, when configured to scan all file system read activity, is a particular offender."
How do I make an executable from a Python script?,See How can I create a stand-alone binary from a Python script? for a list of tools that can be used to make executables.
